"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""274289074""","=""dinnerwithcarly""","=""17859930681131713""","=""Does this have a built in bras/support for us heavy topped babes?""","=""https://www.instagram.com/dinnerwithcarly""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/414208278_1431978971084199_6965160712457997303_n.jpg""","=""2024/4/7 08:53:59"""
"=""183870973""","=""jenniferzuccarini""","=""18292516576094674""","=""❤️❤️❤️""","=""https://www.instagram.com/jenniferzuccarini""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/286638360_593388391984258_5878006852107435703_n.jpg""","=""2024/4/7 09:09:00"""
"=""28339160""","=""jenniferdell""","=""18010442732459210""","=""🔥🔥""","=""https://www.instagram.com/jenniferdell""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/305670899_839374733768248_5947956277031088752_n.jpg""","=""2024/4/7 09:27:55"""
"=""26995933""","=""myfathersdaughter21""","=""18038732248830553""","=""🔥🔥🔥""","=""https://www.instagram.com/myfathersdaughter21""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/313839623_2426343500847811_4248127499588878086_n.jpg""","=""2024/4/7 10:02:57"""
"=""2073081919""","=""antonina_kosior""","=""18008651408341707""","=""Love""","=""https://www.instagram.com/antonina_kosior""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/435295610_985034989887965_1303435244065374330_n.jpg""","=""2024/4/7 10:17:17"""
"=""45283259735""","=""iamwinstonphoto""","=""18036055912872164""","=""🖤🖤🖤🖤🖤🖤🖤""","=""https://www.instagram.com/iamwinstonphoto""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/356221326_996737618437072_5215212399817616973_n.jpg""","=""2024/4/7 14:05:41"""
"=""295108045""","=""wine_kno""","=""18026425583056248""","=""👌🔥""","=""https://www.instagram.com/wine_kno""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/13722181_1761056864138208_854389246_a.jpg""","=""2024/4/7 16:23:34"""
"=""560143674""","=""sdhanjudhillon""","=""18024031274096229""","=""@dinnerwithcarly following!""","=""https://www.instagram.com/sdhanjudhillon""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/432020890_1558319898287768_4673983711736790214_n.jpg""","=""2024/4/7 20:03:06"""
